Rank,College
1,Oklahoma  
2,Auburn
3,LSU
3,Florida State
5,Michigan
5,Georgia
7,Alabama  
7,UCLA
9,Florida   
9,Utah
9,Oregon  
9,Arizona  
9,ULL
9,Washington
9,James Madison
9,Missouri
17,Notre Dame
17,Nebraska
17,Arizona State
17,Longwood
17,California
17,Minnesota
17,Texas A&M
17,Ole Miss
17,Jacksonville State
17,Tennessee
17,Cal State Fullerton
17,Baylor
17,South Carolina
17,Kentucky
17,Oklahoma State
17,UCF
33,Florida Atlantic
33,Northwestern
33,Illinois
33,South Florida
33,Long Beach State
33,Fresno State
33,Ohio State
33,USC Upstate
33,Wichita State
33,Texas
33,North Dakota State
33,Texas State
33,North Carolina
33,McNeese State
33,BYU
33,Miami (OH)
49,Valparaiso
49,Louisville
49,LIU Brooklyn
49,Princeton
49,Samford
49,Weber State
49,Boston U
49,Tulsa
49,Oregon State
49,Marist
49,Cal State Bakersfield
49,Fordham
49,Florida A&M
49,Butler
49,Maine
49,Alabama State
